Mois,Region,Pays,Nombre de touristes,Nombre de croisièristes,Nuitées touristiques,Durée de séjour moyenne
2013-07-01,Amérique du Nord,Canada,440,107,5516,"12,5"
2013-07-01,Amérique du Nord,États-Unis (y compris Hawaii),4690,887,49437,"10,5"
2013-07-01,Amérique du Sud,Amérique du Sud,579,57,7295,"12,6"
2013-07-01,Asie,Asie,1562,43,12923,"8,3"
2013-07-01,Europe,Europe (hors France),3178,321,43549,"13,7"
2013-07-01,Europe,France,4384,334,115176,"26,3"
2013-07-01,Pacifique,Pacifique,2288,290,28036,"12,3"
2013-07-01,Autres Pays,Autres Pays,57,9,1128,"19,8"
2013-06-01,Amérique Centrale,Amérique Centrale,94,26,907,"9,6"
2013-06-01,Amérique du Nord,Canada,331,78,4097,"12,4"
2013-06-01,Amérique du Nord,États-Unis (y compris Hawaii),5196,1001,55439,"10,7"
2013-06-01,Amérique du Sud,Amérique du Sud,509,44,5740,"11,3"
2013-06-01,Asie,Asie,1652,35,11685,"7,1"
2013-06-01,Europe,Europe (hors France),2410,243,31864,"13,2"
2013-06-01,Europe,France,2878,192,93242,"32,4"
2013-06-01,Pacifique,Pacifique,1985,305,22747,"11,5"
2013-06-01,Autres Pays,Autres Pays,65,6,1034,"15,9"
2013-05-01,Amérique Centrale,Amérique Centrale,107,26,1159,"10,8"
2013-05-01,Amérique du Nord,Canada,451,130,5393,12
2013-05-01,Amérique du Nord,États-Unis (y compris Hawaii),5144,785,49540,"9,6"
2013-05-01,Amérique du Sud,Amérique du Sud,588,164,6476,11
2013-05-01,Asie,Asie,1310,34,9506,"7,3"
2013-05-01,Europe,Europe (hors France),1656,275,23000,"13,9"
2013-05-01,Europe,France,2558,285,63045,"24,6"
2013-05-01,Pacifique,Pacifique,1680,249,17843,"10,6"
2013-05-01,Autres Pays,Autres Pays,40,1,519,13
2013-04-01,Amérique Centrale,Amérique Centrale,75,16,837,"11,2"
2013-04-01,Amérique du Nord,Canada,483,227,6527,"13,5"
2013-04-01,Amérique du Nord,États-Unis (y compris Hawaii),4393,1457,43976,10
2013-04-01,Amérique du Sud,Amérique du Sud,479,11,5826,"12,2"
2013-04-01,Asie,Asie,1164,39,8677,"7,5"
2013-04-01,Europe,Europe (hors France),1235,250,16450,"13,3"
2013-04-01,Europe,France,2614,227,61994,"23,7"
2013-04-01,Pacifique,Pacifique,1532,160,16189,"10,6"
2013-04-01,Autres Pays,Autres Pays,36,7,605,"16,8"
2013-03-01,Amérique Centrale,Amérique Centrale,129,29,1024,"7,9"
2013-03-01,Amérique du Nord,Canada,968,404,11072,"11,4"
2013-03-01,Amérique du Nord,États-Unis (y compris Hawaii),5024,889,46562,"9,3"
2013-03-01,Amérique du Sud,Amérique du Sud,503,49,5233,"10,4"
2013-03-01,Asie,Asie,1467,48,10179,"6,9"
2013-03-01,Europe,Europe (hors France),1337,275,18064,"13,5"
2013-03-01,Europe,France,2800,232,71950,"25,7"
2013-03-01,Pacifique,Pacifique,1637,242,17068,"10,4"
2013-03-01,Autres Pays,Autres Pays,32,4,454,"14,2"
2013-02-01,Amérique Centrale,Amérique Centrale,59,1,509,"8,6"
2013-02-01,Amérique du Nord,Canada,798,398,9088,"11,4"
2013-02-01,Amérique du Nord,États-Unis (y compris Hawaii),3524,1100,31054,"8,8"
2013-02-01,Amérique du Sud,Amérique du Sud,405,85,4754,"11,7"
2013-02-01,Asie,Asie,1822,33,13719,"7,5"
2013-02-01,Europe,Europe (hors France),1327,332,17837,"13,4"
2013-02-01,Europe,France,2170,215,55106,"25,4"
2013-02-01,Pacifique,Pacifique,1040,89,11018,"10,6"
2013-02-01,Autres Pays,Autres Pays,32,4,219,"6,8"
2013-01-01,Amérique Centrale,Amérique Centrale,56,13,732,"13,1"
2013-01-01,Amérique du Nord,Canada,1011,680,13563,"13,4"
2013-01-01,Amérique du Nord,États-Unis (y compris Hawaii),3847,1806,41537,"10,8"
2013-01-01,Amérique du Sud,Amérique du Sud,517,173,6390,"12,4"
2013-01-01,Asie,Asie,966,91,8157,"8,4"
2013-01-01,Europe,Europe (hors France),1699,709,21212,"12,5"
2013-01-01,Europe,France,1566,129,53206,34
2013-01-01,Pacifique,Pacifique,1494,112,19249,"12,9"
2013-01-01,Autres Pays,Autres Pays,18,7,177,"9,8"
2012-12-01,Amérique Centrale,Amérique Centrale,149,44,1449,"9,7"
2012-12-01,Amérique du Nord,Canada,713,316,8311,"11,7"
2012-12-01,Amérique du Nord,États-Unis (y compris Hawaii),5250,1486,51111,"9,7"
2012-12-01,Amérique du Sud,Amérique du Sud,613,102,7118,"11,6"
2012-12-01,Asie,Asie,1790,93,13875,"7,8"
2012-12-01,Europe,Europe (hors France),1572,326,21241,"13,5"
2012-12-01,Europe,France,2918,227,81955,"28,1"
2012-12-01,Pacifique,Pacifique,2187,179,31283,"14,3"
2012-12-01,Autres Pays,Autres Pays,70,11,1070,"15,3"
2012-11-01,Amérique Centrale,Amérique Centrale,123,0,957,"7,8"
2012-11-01,Amérique du Nord,Canada,483,47,5751,"11,9"
2012-11-01,Amérique du Nord,États-Unis (y compris Hawaii),4341,198,39304,"9,1"
2012-11-01,Amérique du Sud,Amérique du Sud,504,19,5208,"10,3"
2012-11-01,Asie,Asie,1311,17,10111,"7,7"
2012-11-01,Europe,Europe (hors France),1466,165,18172,"12,4"
2012-11-01,Europe,France,2629,277,77844,"29,6"
2012-11-01,Pacifique,Pacifique,1560,43,16651,"10,7"
