Année,Region,Pays,ISO3,Nombre de touristes,Nombre de croisièristes,Nuitées touristiques,Durée de séjour moyenne
2014,Europe (hors France),Autre Europe,,1053,212,14724,164
2014,Europe (hors France),Autriche,AUT,740,266,10857,173
2014,Europe (hors France),Belgique,BEL,997,250,21029,"252,6"
2014,Europe (hors France),Danemark,DNK,216,68,4379,"241,8"
2014,Europe (hors France),Espagne,ESP,2782,189,28635,129
2014,Europe (hors France),Finlande,FIN,73,17,851,"51,3"
2014,Europe (hors France),Italie,ITA,7887,519,104907,"178,4"
2014,Europe (hors France),Luxembourg,LUX,137,26,2218,"196,5"
2014,Europe (hors France),Norvège,NOR,218,42,2677,"147,7"
2014,Europe (hors France),Pays-Bas,NLD,367,46,5009,"166,4"
2014,Europe (hors France),Portugal,PRT,209,27,3192,205
2014,Europe (hors France),Royaume-Uni,GBR,4834,1355,57746,"143,7"
2014,Europe (hors France),Russie,RUS,640,146,8684,"171,9"
2014,Europe (hors France),Suède,SWE,446,167,5915,"163,7"
2014,Europe (hors France),Suisse,CHE,2911,775,55127,"228,1"
2014,France,France,FRA,34887,3104,977605,"341,2"
2014,Pacifique,Australie,AUS,9315,1902,103586,"133,1"
2014,Pacifique,Autre Pacifique,,93,7,1451,"142,7"
2014,Pacifique,Cook,COK,191,13,2469,"166,2"
2014,Pacifique,Fidji,FJI,124,9,1663,"172,1"
2014,Pacifique,Nouvelle-Calédonie,NCL,4111,201,72611,"210,1"
2014,Pacifique,Nouvelle-Zélande,NZL,7136,844,74619,"124,7"
2014,Pacifique,Samoa,WSM,104,7,889,"91,4"
2014,Pacifique,Tonga,TON,18,1,210,"42,2"
2014,Proche et Moyen Orient,Proche et Moyen Orient,,371,64,4879,"165,2"
2013,Afrique,Afrique,,309,46,4715,"177,4"
2013,Amérique Centrale,Autre Amérique Centrale,,94,29,983,"114,8"
2013,Amérique Centrale,Mexique,MEX,884,194,9202,"130,3"
2013,Amérique du Nord,Canada,CAN,7206,2974,89888,150
2013,Amérique du Nord,Hawaii,USA,1883,436,23008,"144,1"
2013,Amérique du Nord,USA,USA,51750,12198,514729,119
2013,Amérique du Sud,Argentine,ARG,1087,228,14930,"167,6"
2013,Amérique du Sud,Autre Amérique du Sud,,716,123,8741,"143,3"
2013,Amérique du Sud,Brésil,BRA,3064,437,32673,"128,8"
2013,Amérique du Sud,Chili,CHL,1624,170,19288,"142,9"
2013,Asie,Autre Asie,,57,1,1641,"201,4"
2013,Asie,Chine,CHN,1876,127,17737,"115,1"
2013,Asie,Corée du Sud,KOR,568,26,4101,"88,9"
2013,Asie,Hong Kong,HKG,240,19,2646,140
2013,Asie,Inde,IND,521,28,5448,"165,6"
2013,Asie,Indonésie,IDN,98,10,1418,"210,9"
2013,Asie,Japon,JPN,13175,281,85883,"78,2"
2013,Asie,Malaisie,MYS,120,14,1888,"210,3"
2013,Asie,Philippines,PHL,131,69,1450,128
2013,Asie,Singapour,SGP,257,36,4369,"182,2"
2013,Asie,Taïwan,TWN,260,11,2334,"108,4"
2013,Asie,Thaïlande,THA,81,4,1425,144
2013,Europe (hors France),Allemagne,DEU,3477,1037,51078,"181,2"
2013,Europe (hors France),Autre Europe,,1341,225,17245,"158,4"
2013,Europe (hors France),Autriche,AUT,577,179,8588,"184,4"
2013,Europe (hors France),Belgique,BEL,858,178,16405,"228,3"
2013,Europe (hors France),Danemark,DNK,156,23,2323,"174,6"
2013,Europe (hors France),Espagne,ESP,2426,173,26542,"147,7"
